Function and Subfunction,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate,2021 estimate
050 National Defense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051 Department of Defense-Military:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, Commerce and Housing Credit","12,528","1,576","8,818","8,759","9,953","15,333","12,754","11,769","10,171","13,306","12,217","11,129","11,137","23,066","62,425","62,989","87,342","47,595","10,779","27,334","8,428","8,062","8,057","14,323","14,345","15,429","12,338","11,240","14,847","14,135","14,227","14,301","10,034","218,233","451,669","-118,992","-54,210","12,406","-36,505","-67,658","-2,192","3,162","2,130",384,"3,084","8,692","4,038"
(On-budget),"12,528","1,576","8,818","8,759","9,953","15,333","12,754","11,769","9,971","12,387","10,787","9,340","8,843","22,124","60,815","59,906","84,041","45,397","8,539","24,601","5,874","4,621","4,332","7,964","8,738","11,717","8,274","8,169","9,461","12,078","13,222","10,608","1,135","208,556","445,091","-123,692","-55,206","10,151","-36,505","-67,655","-2,192","3,305","1,853",102,"2,796","8,398","3,739"
(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,200,919,"1,430","1,788","2,294",941,"1,610","3,083","3,301","2,198","2,239","2,732","2,554","3,441","3,725","6,359","5,607","3,712","4,064","3,071","5,386","2,057","1,005","3,693","8,899","9,677","6,578","4,700",996,"2,255",..........,-3,..........,-143,277,282,288,294,299
400 Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401 Ground transportation,"6,904","4,777","5,732","9,872","14,021","15,278","20,249","17,697","19,208","20,685","20,318","19,349","18,244","18,267","18,605","19,369","19,096","23,290","26,446","28,081","27,112","23,346","27,402","31,099","35,856","38,609","44,011","45,863","40,333","45,229","49,507","49,625","50,598","52,574","91,430","67,858","53,692","56,266","66,815","55,563","55,468","58,628","78,503","91,645","94,619","103,861","100,471"
402 Air transportation,"2,311","1,048","3,017","3,287","3,728","3,915","4,046","3,747","4,850","5,266","6,011","5,484","5,518","6,906","7,494","8,260","8,932","10,043","10,396","11,439","8,185","9,576","9,827","10,394","11,368","12,006","18,543","17,304","21,478","18,330","18,971","18,105","19,399","19,771","23,370","21,693","21,901","21,998","20,744","21,344","19,922","20,540","19,779","19,701","20,058","20,313","21,195"
403 Water transportation,"1,615",390,"1,675","1,854","2,057","2,192","2,552","2,931","2,912","3,244","3,105","3,915","3,120","2,861","3,112","3,168","3,122","3,320","3,287","3,604","3,684","3,379","3,499","3,637","4,139","4,527","4,560","5,444","6,624","7,200","7,384","7,608","8,315","8,788","9,793","10,142","10,527","9,958","9,886","9,729","9,614","10,754","10,045","10,247","10,484","10,731","10,991"
407 Other transportation,74,19,83,85,91,97,109,88,110,114,126,111,115,107,132,143,251,277,299,321,319,312,344,207,222,233,240,238,295,301,373,353,370,357,402,396,391,406,415,426,432,446,496,503,516,525,534
"Total, Transportation","10,905","6,234","10,507","15,098","19,897","21,483","26,957","24,464","27,080","29,309","29,559","28,859","26,996","28,141","29,342","30,940","31,401","36,929","40,428","43,445","39,300","36,613","41,072","45,337","51,585","55,375","67,354","68,849","68,730","71,060","76,235","75,691","78,682","81,490","124,995","100,089","86,511","88,628","97,860","87,062","85,436","90,368","108,823","122,096","125,677","135,430","133,191"
450 Community and Regional Development:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451 Community development,"2,764",81,"3,689","4,403","4,775","4,972","4,783","4,328","5,398","4,818","4,262","3,725","3,818","3,546","3,061","4,060","3,694","3,788","4,848","5,461","5,193","5,083","5,187","5,492","5,486","5,395","6,553","8,066","5,718","5,780","5,724","21,641","4,722","18,502","8,289","6,121","5,888","4,652","19,543","4,271","4,212","4,525","4,492","4,268","4,351","4,438","4,526"
452 Area and regional development,"2,604",649,"9,235","3,524","4,082","4,331","4,373","3,644","4,104","3,824","3,660","2,684","2,620","5,080","3,512","4,033","4,061","3,284","2,919","3,219","3,301","2,767","2,920","2,575","2,705","2,836","3,314","3,458","2,956","2,535","2,636","2,474","2,390","3,119","8,061","3,156","2,760","3,149","2,343","2,972","2,876","2,616","13,040","3,058","3,128","3,218","3,251"
453 Disaster relief and insurance,335,60,684,"3,246","2,266","2,426",810,417,480,257,239,475,210,205,"1,308","1,725",-2,"5,218","2,383","6,910","4,501","4,688","5,458","2,557","3,097","3,028","4,658","11,497","8,025","9,821","76,135","6,985","10,529","19,890","7,599","11,937","6,607","10,703","29,180","9,289","10,364","11,155","12,067","5,625","5,998","6,323","6,485"
